	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0270275430564267	0.97333443254994	0.0195349655323404	-1.38354700507059	0.166497204916691	0.936771985189676	1.01132392147219
BRCA	-0.0005761590197803	0.999424006927955	0.0256864554032168	-0.0224304603627072	0.982104582604436	0.950354043448217	1.05102761703392
CESC	-0.0950843700692574	0.909296213847277	0.0281048240065649	-3.38320460740288	0.000716452338646682	0.860562690066939	0.960789509074206
CHOL	-0.011767780164354	0.988301189356164	0.0559130389103536	-0.210465758858528	0.833304173602477	0.885719187544777	1.10276400762
COAD	0.0111053045857743	1.01116719738134	0.0236438840104345	0.469690368167652	0.638576250322873	0.965377698770779	1.05912856943136
ESCA	-0.0885589858212281	0.915249122422626	0.0483912710491451	-1.8300611639502	0.0672407933511995	0.832431673604877	1.00630596198698
GBM	0.0253779974698945	1.02570276030464	0.0342355709732933	0.741275718453519	0.45852628118603	0.959135914766857	1.09688954015688
HNSC	-0.0324768825184351	0.968044828331111	0.0166984238326026	-1.94490706691886	0.0517861643454996	0.936875204516418	1.00025145840242
KICH	-0.0208733978201323	0.979342943672789	0.0892888975155611	-0.233773721044036	0.815160651901687	0.822113824265492	1.16664210357804
KIRC	0.0140087754941611	1.01410735819265	0.0284342561831842	0.492672479417477	0.622244026207797	0.959137014010005	1.07222817899689
KIRP	0.0361395400661122	1.03680051160933	0.0424243587767165	0.85185825097129	0.394292770962916	0.954077212567649	1.12669633727067
LIHC	-0.0353755771852053	0.965242824988076	0.0213924640657843	-1.65364668027121	0.0981993221664984	0.925608392275494	1.00657439902906
LUAD	-0.0886874709254452	0.915131534098083	0.0218287575940916	-4.06287304914918	4.84723945798033e-05	0.876804658583406	0.95513375357032
LUSC	0.0060043820086111	1.00602244444342	0.0199281724064877	0.30130118739119	0.763184835560628	0.967486199574313	1.04609363851311
PAAD	-0.0642292798140047	0.937789958572119	0.0270075515660387	-2.37819706303075	0.0173975255324028	0.889440106361847	0.988768102661782
PCPG	-0.0276640359750629	0.972715109194531	0.10826499487734	-0.255521519272275	0.798320325139531	0.786738369023027	1.20265480992149
PRAD	0.0993872015656131	1.10449387853289	0.137080631060214	0.725027312735062	0.468435274711538	0.84426749424518	1.44492916762986
READ	0.0050443797565061	1.00505712406009	0.0548749523292494	0.0919249956927498	0.926757631849245	0.90257043232559	1.11918115910488
SARC	-0.0231022122868231	0.977162600644713	0.0284364396847102	-0.812415778591467	0.416553095383207	0.924190915739571	1.03317045410973
STAD	0.0161878832419575	1.01631961689361	0.0336106298294419	0.48162986900583	0.630068903871535	0.951526501094586	1.08552474628354
THCA	0.0798517614614562	1.08312649468507	0.0859401393677234	0.929155596545916	0.352808455404426	0.915222735526098	1.28183332641359
THYM	-0.0989894596196987	0.90575225494646	0.0853149228452748	-1.16028305855968	0.2459335797745	0.766283068992018	1.07060586425294
UCEC	-0.0233915806373659	0.976879881621693	0.0242065202644521	-0.966333879542244	0.333877138305688	0.931615140882373	1.02434391761104
