,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000168505.6,4618,5.42487850790308,2.42531496676847e-28,4.46186414602311,6.38789286978306,92.8477271016705,4.42464615027313,GBX2
ENSG00000170515.12,9965,0.473505267890166,4.86855023575443e-21,0.37490191385605,0.572108621924281,94.9418570277428,0.0480404710108503,PA2G4
ENSG00000115163.13,3173,2.96784115750368,1.03874150303766e-20,2.34451811483056,3.5911642001768,97.0760662365881,2.04284039229754,CENPA
ENSG00000170265.10,20714,0.434323452483073,2.47496690981685e-19,0.339632737615738,0.529014167350407,93.4476477142829,0.0449808653585351,ZNF282
ENSG00000101412.12,28609,2.0352725178298,3.87215178905662e-19,1.58909662228033,2.48144841337928,98.0067804911249,1.07252255921978,E2F1
ENSG00000185122.9,17937,0.463645847028515,7.91562338749272e-19,0.361094392554663,0.566197301502367,93.297208102921,0.0534521391295061,HSF1
ENSG00000122386.9,4776,0.538186276351289,2.27343073523767e-18,0.417535898297908,0.65883665440467,89.8929487181812,0.0676650889930243,ZNF205
ENSG00000111206.11,15179,2.62576537454203,3.71637308541796e-18,2.03334966585873,3.21818108322534,98.4477696235964,1.95278535595669,FOXM1
ENSG00000177732.7,21363,0.83706172578038,5.16380890832717e-18,0.647389004762679,1.02673444679808,93.944504980941,0.184275301735216,SOX12
ENSG00000181220.14,12352,0.337909637659679,6.93317025928253e-18,0.261042128511184,0.414777146808173,93.4879420605733,0.0287681627553411,ZNF746
ENSG00000197961.10,11440,0.713981340157298,7.19882071653227e-18,0.551483977605569,0.876478702709027,95.172807231814,0.142211807290747,ZNF121
ENSG00000101057.14,11096,3.30438583264598,4.21504251220862e-17,2.53399631532745,4.07477534996452,98.0885172410758,3.30116113451398,MYBL2
ENSG00000167962.11,1052,0.545791990302122,4.75220744172714e-15,0.409229831015711,0.682354149588532,95.5540206707516,0.0984078543704102,ZNF598
ENSG00000010539.10,5505,0.423720216021798,5.58177095932648e-15,0.31742680844948,0.530013623594116,95.9454978648693,0.0603030124846765,ZNF200
ENSG00000071564.13,7412,0.842537235972753,8.44172048442559e-15,0.629756384090006,1.0553180878555,97.7082176416382,0.246710839186927,TCF3
ENSG00000165891.14,16451,2.75397259113759,8.71502572153095e-15,2.05810072232327,3.4498444599519,98.2144805051074,2.69313884897667,E2F7
ENSG00000167967.14,23256,0.440672471352554,2.8938164942299e-14,0.327072035895104,0.554272906810004,92.6606985533102,0.0636946864779799,E4F1
ENSG00000213347.9,9742,1.2565642391636,3.01377455566582e-14,0.932411939489579,1.58071653883762,95.8156677222809,0.543828001488893,MXD3
ENSG00000130816.13,18952,0.834532068191043,3.32610424132608e-14,0.618887616063654,1.05017652031843,97.2691173088792,0.255069260233052,DNMT1
ENSG00000148300.10,7938,0.404852417992721,2.49427603994408e-13,0.296439662092186,0.513265173893255,93.6209606133741,0.0584784154820184,REXO4
ENSG00000147789.14,13770,0.433497075146572,1.12149339024537e-12,0.31407705747962,0.552917092813524,96.2774159551134,0.0751014364188567,ZNF7
ENSG00000171163.14,18138,0.913564213858481,1.3623991447908e-12,0.660940321662448,1.16618810605451,95.8531679479628,0.340991367059113,ZNF692
ENSG00000166526.15,12474,0.391673381529569,1.71340097210936e-12,0.282877516036321,0.500469247022816,95.2146557257752,0.0577769495594072,ZNF3
ENSG00000126456.14,12311,0.477234169815426,1.83750027058524e-12,0.344488898543867,0.609979441086984,92.7778989576548,0.0852094036194313,IRF3
ENSG00000123407.3,20676,2.72110000759342,4.47086501158806e-12,1.9505579382067,3.49164207698014,91.8689978219211,2.86481569892615,HOXC12
ENSG00000175213.2,25109,0.345328011773548,4.65056619129607e-12,0.247461491050904,0.443194532496192,90.6470017285209,0.0439979897698166,ZNF408
ENSG00000123364.4,238,4.57527377610478,5.21039324392929e-12,3.2756025500013,5.87494500220826,95.297312579481,8.45196970941187,HOXC13
ENSG00000198393.6,21569,0.455104092256219,8.92295254234355e-12,0.324369437915339,0.5858387465971,95.38229168788,0.0915851578335049,ZNF26
ENSG00000090447.10,9268,0.815969105192515,9.11340936759451e-12,0.581466954089991,1.05047125629504,96.1964405328775,0.287495158620143,TFAP4
