,idx,beta,pval,cilb,ciub,i2,tau2
NCOA1,27872,-0.55007827632588,4.99565887258288e-24,-0.656720090829257,-0.443436461822503,93.0179695527095,0.0580573038082593
TRIP13,12340,2.09660940499984,6.59357064298455e-23,1.67958877718387,2.51363003281581,97.3359894210464,0.95015667491884
MCM7,9242,1.04140746692818,1.36964673455581e-19,0.815985874239012,1.26682905961734,97.7210709648469,0.261064947356098
ZNF282,20714,0.434323452483073,2.47496690981685e-19,0.339632737615738,0.529014167350407,93.4476477142829,0.0449808653585351
E2F1,28609,2.0352725178298,3.87215178905662e-19,1.58909662228033,2.48144841337928,98.0067804911249,1.07252255921978
HSF1,17937,0.463645847028515,7.91562338749272e-19,0.361094392554663,0.566197301502367,93.297208102921,0.0534521391295061
CBX8,15148,1.00347761345486,1.56362557465722e-18,0.779598312022985,1.22735691488674,96.2725258958025,0.269640165834293
ZNF205,4776,0.538186276351289,2.27343073523767e-18,0.417535898297908,0.65883665440467,89.8929487181812,0.0676650889930243
FOXM1,15179,2.62576537454203,3.71637308541796e-18,2.03334966585873,3.21818108322534,98.4477696235964,1.95278535595669
ZNF121,11440,0.713981340157298,7.19882071653227e-18,0.551483977605569,0.876478702709027,95.172807231814,0.142211807290747
MYBL2,11096,3.30438583264598,4.21504251220862e-17,2.53399631532745,4.07477534996452,98.0885172410758,3.30116113451398
ZNF331,22356,-0.884625520607372,5.92840940564993e-17,-1.09185733700418,-0.677393704210566,91.5678796316903,0.195572158719505
PTTG1,16809,2.19146064902301,1.18099854468245e-16,1.67303226961939,2.70988902842663,98.004865732203,1.43353212807902
MCM2,24316,1.59488554902201,7.04796526075054e-16,1.20751997533921,1.98225112270482,98.525999302308,0.828075133949761
CSDE1,16586,-0.39964677575478,7.91269558037149e-16,-0.496883339273251,-0.30241021223631,94.6581291281462,0.0464605125030341
KAT2B,13169,-1.13517509204085,1.37086658058247e-15,-1.41370383135387,-0.856646352727829,98.2280595136428,0.437368424818387
RAD51,17033,1.89496593246051,3.1825547291116e-15,1.42384903482944,2.36608283009159,98.4025178713356,1.22284965939822
TCF3,7412,0.842537235972753,8.44172048442559e-15,0.629756384090006,1.0553180878555,97.7082176416382,0.246710839186927
E2F7,16451,2.75397259113759,8.71502572153095e-15,2.05810072232327,3.4498444599519,98.2144805051074,2.69313884897667
U2AF2,15093,0.374674972891611,9.87713444216922e-15,0.279807932738149,0.469542013045073,95.5947105709493,0.0456203557650183
EZH2,13204,1.89849405467729,1.45622097041729e-14,1.41470468364478,2.38228342570981,98.6652619270193,1.31386252169201
E4F1,23256,0.440672471352554,2.8938164942299e-14,0.327072035895104,0.554272906810004,92.6606985533102,0.0636946864779799
MXD3,9742,1.2565642391636,3.01377455566582e-14,0.932411939489579,1.58071653883762,95.8156677222809,0.543828001488893
DNMT1,18952,0.834532068191043,3.32610424132608e-14,0.618887616063654,1.05017652031843,97.2691173088792,0.255069260233052
NCOA4,25877,-0.523030052452266,3.55649183463238e-14,-0.658336865494601,-0.38772323940993,95.380883906422,0.0971258215971303
HLF,23959,-2.42511929603008,4.93696308486637e-14,-3.05604770286453,-1.79419088919563,98.9979829522988,2.26303886276882
MTA2,7773,0.380216280235929,7.58365536559244e-14,0.280553930834765,0.479878629637093,93.4791014168194,0.0460093256947753
FOS,19761,-1.83474934105362,8.71020101232819e-14,-2.31684943493642,-1.35264924717082,94.5362332705794,1.19616597586911
SSRP1,23149,0.408779012082975,3.86478005130344e-13,0.298425222707254,0.519132801458696,96.6212060678702,0.0639766316928907
KLF9,20991,-1.4443505109309,4.44670820913214e-13,-1.83528953896244,-1.05341148289935,98.0648924114217,0.868075438678274
FUS,9754,0.418062730485673,8.85068671444416e-13,0.303419595195048,0.532705865776298,93.6775390409313,0.0652256842144975
ZNF7,13770,0.433497075146572,1.12149339024537e-12,0.31407705747962,0.552917092813524,96.2774159551134,0.0751014364188567
DNMT3B,25014,1.28262654440539,1.35872632963519e-12,0.927966168317891,1.63728692049288,98.0371547155685,0.713625743222286
ZNF692,18138,0.913564213858481,1.3623991447908e-12,0.660940321662448,1.16618810605451,95.8531679479628,0.340991367059113
KLF11,24623,-0.687056806535816,1.45862772257532e-12,-0.877299351391285,-0.496814261680348,95.5737800163738,0.185530389815901
ZNF3,12474,0.391673381529569,1.71340097210936e-12,0.282877516036321,0.500469247022816,95.2146557257752,0.0577769495594072
IRF3,12311,0.477234169815426,1.83750027058524e-12,0.344488898543867,0.609979441086984,92.7778989576548,0.0852094036194313
EGR1,20430,-1.65202735060322,2.00169253263924e-12,-2.11232671079565,-1.19172799041078,95.5064441489095,1.13218787170384
CBX3,25774,0.704714575767548,2.05778809425865e-12,0.508254428117197,0.901174723417899,98.5769045985149,0.217179289534938
MCM5,28046,0.89416372823424,3.46976679698309e-12,0.642264130763511,1.14606332570497,97.7143556474965,0.336533865535956
AFF1,27217,-0.527549584983385,3.77432936582074e-12,-0.676422307468076,-0.378676862498695,93.8522725684511,0.114318567244311
XRCC3,24226,0.812378729610878,5.68684316274437e-12,0.581194198907632,1.04356326031412,96.3370805723363,0.281633826966591
SUPT5H,15326,0.251177013053796,8.35251130021435e-12,0.179123223501958,0.323230802605635,93.1216161238343,0.0261908284396337
ZNF26,21569,0.455104092256219,8.92295254234355e-12,0.324369437915339,0.5858387465971,95.38229168788,0.0915851578335049
TFAP4,9268,0.815969105192515,9.11340936759451e-12,0.581466954089991,1.05047125629504,96.1964405328775,0.287495158620143
MAZ,17071,0.523267896863714,1.14695210646055e-11,0.372151727457651,0.674384066269777,95.7416788496002,0.11764598349368
TRIM28,22646,0.490854390352445,1.26580940259846e-11,0.348800826637683,0.632907954067207,96.7237463074739,0.103845034658812
KLF10,29189,-0.757698712161824,1.54867479762783e-11,-0.977927698529557,-0.537469725794091,92.9337009380064,0.234249201743369
ILF3,1507,0.463893813863231,2.65204466510662e-11,0.327471317361008,0.600316310365453,98.1359757280477,0.101474163784304
THRB,22509,-1.63748164270963,4.44992899266288e-11,-2.12462120978395,-1.1503420756353,99.0632071933055,1.34923085711828
ZFP36,24852,-1.33436771076054,5.18625101208700e-11,-1.73271013458241,-0.936025286938669,94.4791740668228,0.80679768851729
NR4A1,24475,-1.7576862581311,5.38704752271373e-11,-2.28285286783676,-1.23251964842545,95.0522646685059,1.46302077519152
